Description,Keep,Donate,Spark joy,Rating
Purple slouch top,1,0,0,3
Gray cardigan,1,0,1,9
Blue polka dot tunic,1,0,0,6
Angular zippered sweater,1,0,0,6
Gray floral tunic,1,0,0,4
Floor length gray cardigan,0,1,0,2
Black see thru shirt,1,0,0,5
Blue zippered fleece,1,0,1,9
Gray cardigan,0,1,0,3
White striped cardigan,0,1,0,2
Black cold shoulder,0,1,0,4
Red and black floral maxi dress,0,1,0,6
Peach floral see thru top,0,1,0,1
Gold vneck top,1,0,0,3
Black and white dress tank,1,0,0,4
Plaid ruffle see thru tank,1,0,0,6
Pleather black cardigan,1,0,0,6
Black lace blue shirt,1,0,0,4
Pink crotched tee,1,0,0,3
Purple peasant blouse,0,1,0,3
Hot pink shrug,1,0,0,3
Black and white embroderied color peasant blouse,1,0,1,7
Strap back gray sweater,1,0,1,8
Loose black knit cardigan,1,0,1,9
Black buttton down cardigan,1,0,0,7
Purple sweater with cuff buttons,1,0,1,8
Long sleeve black shirt,1,0,0,5
Black short sleeve turtleneck,1,0,0,6
Black dress pants,1,0,0,6
Black dress pants,1,0,0,6
Black long cowl neck shirt,0,1,0,5
Black crotched neck detail top,0,1,0,4
White tank top,0,0,0,7
Black and white mini dress,1,0,0,7
Black floor length maxi w/ jewels,1,0,1,9
Black and white maxi,1,0,0,8
Teal and black shirt,1,0,0,6
Mixed color maxi,1,0,1,10
Black knit short sleeve,0,1,0,8
Heavy gray sweater cardigan,0,1,0,6
Two toned gray tunic,1,0,1,7
Tan glitter sweater,1,0,0,7
Green army jacket,1,0,0,8
Brown cowl shirt,0,1,0,6
Green fleece pullover,0,1,1,6
Bright green tank,1,0,0,8
Gray and white sweater shirt,1,0,0,4
Tan cardigan,1,0,0,5
Gray sweatshirt,1,0,0,5
Black crotched tank,0,1,0,4
Black ribbed tank,0,1,0,4
Turquoise tank,0,1,0,3
White lace tank,1,0,0,4
Black shapewear tank,0,1,0,3
Purple clown collar tank,0,1,0,3
Pink tank,1,0,0,5
Red tank,1,0,0,5
Green tank,1,0,0,5
Gray shirt with sequence sleeves,1,0,0,7
Brown jewel tank,1,0,1,8
Turquoise lace tank,0,1,0,5
Red silk tank,0,1,0,3
Gray lace tank,0,1,0,3
Black lace tank,1,0,0,7
Brown leggings,1,0,0,4
Black leggings,1,0,1,6
Jeep sweatshirt,0,1,0,5
White dress with black bottom,0,1,0,5
Sparkle top,1,0,0,7
Purple/Black striped cardigan,1,0,0,4
Gold sequin tank,1,0,0,4
Black slouch top with beads,0,1,0,8
Silver sweater dress,0,1,0,7
Black side button sweater,1,0,0,8
Ann Taylor Black pencil skirt,0,1,0,10
Pink PHEONIX sweatshirt,0,1,0,4
Peony peach dress,1,0,0,6
Red white and blue maxi,1,0,0,7
Gray zipper sweater,1,0,0,4
Black cardigan,1,0,0,6
Black fancy dress,1,0,0,5
Pink maxi dress,0,1,0,4
Peach short cotton dress,0,1,0,3
Pink pleated princess dress,1,0,0,7
Skull dress,1,0,1,9
Lemon dress,1,0,1,8
Turquoise sweater with tufted sleeves,1,0,0,5
Gray sweater,1,0,0,4
Neck button dress,1,0,0,5
Black cowl neck shirt,1,0,0,6
Gold cardigan,1,0,0,5
White starwars dress,1,0,0,5
Pink and white maxi dress,0,1,0,4
Gray black striped tube dress with ruffles,0,1,0,3
Yellow open sleeve dress,0,1,1,4
Black pencil skirt,1,0,0,5
Gucci print dress,1,0,0,4
White see-thru maxi,1,0,0,2
Blue strapless coverup,1,0,0,4
Black everyday maxi,1,0,1,7
Black everyday maxi,1,0,1,7
Black everyday maxi,1,0,1,7
Orange flowy maxi,1,0,0,4
Gray cold shoulder sweater dress with ruffle shoulders,1,0,0,7
Black teacher/witch dress,1,0,0,5
Florescent cupcake dress,0,1,1,5
tie-dye dress,1,0,0,7
pink bathing suit coverup,1,0,0,6
black and white fitted sweater dress,1,0,1,9
Tight sexy dress,1,0,0,6
Black mexican embroidery dress,1,0,1,8
Red knit cardigan,1,0,1,7
black frilly v neck sweater,1,0,0,4
Black floral tunic,1,0,0,3
black polka dot dress,0,1,0,3
black ruffle v neck sweater,0,1,0,4
coverup blue embroidery sleeveless dress,1,0,0,4
dog shirt,1,0,0,6
red feather dress,1,0,1,8
Black floral see thru tank,1,0,0,7
purple tshirt dress,1,0,0,4
animal print shirt,0,1,0,3
gray stringy sweater,0,1,1,4
large button black cardigan,0,1,0,2
cold shoulder lace black shirt,0,1,0,2
gray sweater dress,1,0,0,4
blue tunic,0,1,0,2
black lace 3/4 sleeve shirt,0,1,0,3
cross black ribbed shirt,1,0,0,3
melon cardigan,1,0,0,6
mustard cardigan,1,0,1,7
navy stars dress,1,0,1,8
jean jacket,1,0,0,6
maroon short sleeve tunic,1,0,0,4
white and black kimono dress,1,0,1,5
pink tshirt,1,0,0,3
teal pleated shirt,0,1,0,2
black angled tunic,1,0,0,6
seagreen crotched tank,1,0,0,5
white tshirt,1,0,0,3
plain black loose tank,1,0,0,3
black mesh sweater,0,1,1,9
pink sequence tshirt,0,1,0,3
red bathroom dress,0,1,0,5
college sweater,1,0,0,7
Indian wrap skirt,0,1,0,5
ombre skirt,1,0,0,7
Purple floral tank,1,0,0,6
blue and white box dress,1,0,1,7
salmon ruffle shirt,1,0,1,4
navy pattern tank,1,0,0,4
electric blue crotched shirt,1,0,0,2
heart sweater,1,0,0,6
birds pink sheer top,1,0,0,5
black star sheer shirt,1,0,1,9
red and black fluffy cardigan sweater,1,0,0,6
blue embroidery shirt,1,0,0,7
black scoop neck sweater,1,0,0,6
polka dot sheet tunic,1,0,1,8
black peasant blouse,1,0,1,7
red tied sleeve shirt,1,0,0,5
hot pink cardigan,1,0,0,6
baby pink sheer tank,1,0,1,7
silver shirt,0,1,0,4
jean skirt,0,1,0,8
jeans,0,1,0,6
khaki skirt,0,1,0,8
St Johns Sweater,0,1,0,8
Ann Taylor pink shirt,0,1,0,5
diamond eyelet blue sweater,0,1,0,6
red shirt,0,1,0,6
jeans,0,1,0,6
beige shirt,0,1,0,4
neon green open shirt,0,1,1,8
brown ribbed vneck shirt,0,1,0,7
black shirt,0,1,0,7
olive sweater,1,0,1,8
black button down,0,1,1,8
khakis,0,1,0,6
kermet green cardigan,0,1,1,7
brown skirt,0,1,1,6
Indian print skirt,0,1,0,5
country western shirt,0,1,0,6
rando tshirt,0,1,0,4
pink lined black shirt,0,1,0,4
brown shrug,0,1,0,7
gray collared sweater,0,1,0,8
black jacket,0,1,0,8
green silk button down,0,1,1,8
fushia silk shirt,0,1,1,9
baby doll black polka dot shirt,0,1,1,9
cold shoulder black sweater,0,1,0,8
black and white ruffled shirt,0,1,0,7
olive sequence tank,0,1,0,7
pink crotched shrug,0,1,0,5
black square neck tee,0,1,0,4
black lace top,0,1,0,4
white cowboy shirt,0,1,0,3
white button down,0,1,0,5
green sweater tunic,0,1,1,10
black shirt,0,1,0,4
black tank mini dress,0,1,1,8
sheer white tank,0,1,0,2
black sccop neck long sleeve,0,1,0,4
black crotched tank,0,1,0,3
knitted cardigan,0,1,0,5
maroon silk tank,0,1,0,6
bright green cardigan,0,1,0,4
sheer blue tunic,0,1,0,3
tan pleated tank,0,1,0,1
black curtain cardigan,1,0,0,3
pancho with tank,1,0,0,5
embroidered black cardigan,0,1,1,8
see thru pink shirt,1,0,0,3
fishnet sparkle sweater,1,0,0,2
black knit dress,1,0,0,6
white shrug,1,0,0,2
long black tank,1,0,0,3
blue graphic tee,1,0,1,8
28 pair underwear,1,0,0,6
4 pair underwear,0,0,0,3
WP Camp 2003 tshirt,0,1,0,8
teal and black workout pants,0,1,0,3
gray workout pants,0,1,0,3
pink workout shirt,0,1,0,3
mushroom pjs,1,0,1,8
lavendar nightgown,1,0,0,6
white lace tank,1,0,0,6
black tank,1,0,0,6
black lace tank,1,0,0,7
black 2 part tank,0,1,0,3
black silk tank,1,0,0,4
Black leggings,1,0,0,5
Black leggings,1,0,0,5
Black leggings,1,0,0,5
Black leggings,1,0,0,5
lularoe purple flower leggins,1,0,1,6
lularoe blue geometric leggings,1,0,1,7
lularoe carbon leggings,1,0,1,5
lularoe parrot leggings,1,0,1,7
AmFam shirt - gray,1,0,0,5
AmFam shirt - gray,1,0,0,5
AmFam shirt - gray,1,0,0,5
AmFam shirt - red,1,0,0,5
Monument 10K shirt 2015,1,0,0,4
Monument 10K shirt 2019,1,0,0,3
pink workout shirt,1,0,0,5
Black workout shirt,1,0,0,7
Purple workout shirt,1,0,0,7
Black workout shirt,1,0,0,7
pink workout shirt,1,0,0,7
Capital One shirt,1,0,1,8
Capital One shirt,1,0,0,8
Capital One shirt,1,0,0,4
Conference Tee,1,0,0,6
Conference Tee,1,0,0,6
Conference Tee,1,0,0,6
Conference Tee,1,0,0,6
Conference Tee,1,0,0,6
gray sweatpants,1,0,0,3
gray halfpants,1,0,0,3
black halfpants,1,0,0,8
black halfpants,1,0,0,8
black halfpants,1,0,0,8
AmFan shirt - black,1,0,0,6
black halfpants,1,0,0,8
black tunic short sleeve shirt,1,0,0,7
20 pairs white socks,1,0,0,9
fox socks,1,0,0,10
3 pairs soft socks,1,0,0,10
3 SPANX,1,0,0,8
2 SPANX knockoffs,1,0,0,6
Slip,1,0,0,5
12 pair colored socks,1,0,0,5
6 pair black socks,1,0,0,3
beige crotched cardigan,1,0,0,4
black and white infinity scarf,1,0,0,4
toupe herringbone infinity scarf,1,0,0,7
brown tassle scarf,0,1,0,3
orange italian scarf,1,0,0,5
wide braid khaki belt,1,0,0,8
white crotched fringe scarf,0,1,1,7
black floral scarf,1,0,1,8
Navy floral scarf,1,0,0,6
Sequin tan winter scarf,1,0,0,5
white and blue pattern scarf,1,0,0,5
blue stars scarf,0,1,0,5
Knix zipper bag,0,1,0,6
long black fancy silk scarf,0,1,0,7
gray pocket scarf,0,1,0,8
red reading shawl,1,0,0,8
brown floral wedge,0,1,0,4
black strappy wedges,0,1,0,6
Tibet bag,0,0,0,5
Black mary janes,1,0,0,3
Black boots,1,0,0,5
black lined leather boots,1,0,1,9
Hunter waterproof hiking black snow boots,1,0,1,10
knee high wedge boots,1,0,0,5
fold over gray knit uggs,1,0,0,7
fashion brown boots,0,0,1,8
black sandal wedges,1,0,0,5
gold flip flops,1,0,0,3
black flower flip flops,0,0,0,5
tennis shoes,0,0,0,5
pointy ankle boots,0,1,0,4
black ballet slippers,0,1,0,3
black flats,1,0,0,3
pink fossil bag,0,1,0,7
turquoise ribbed tank,0,1,0,3
white lace tank,0,1,0,5
chap covered black boots,1,0,0,4
green silver scarf,1,0,0,5
black half pants,1,0,1,7
gray workout shirt,1,0,1,7
jean,1,0,0,8
jean,1,0,1,9
jean,1,0,0,8
capri jeans,1,0,1,8
jean shorts,1,0,0,
skinny jeans,1,0,1,
black capri dress pants,1,0,0,