YEAR,TMIN,TMAX
1948,47.13934426,68.55464481
1949,49.05479452,70.32054795
1950,47.26575342,68.50136986
1951,47.23013699,69.11506849
1952,47.62021858,69.37704918
1953,48.49315068,71.35890411
1954,47.16712329,70.39452055
1955,47.22465753,68.84657534
1956,47.86338798,68.86338798
1957,48.47671233,68.94794521
1958,46.16712329,66.4
1959,48.38356164,69.75616438
1960,45.53278689,67.64480874
1961,46.24109589,68.90684932
1962,45.8630137,68.05753425
1963,44.42739726,68.04931507
1964,45.23224044,68.37978142
1965,45.67945205,67.59726027
1966,44.4739726,66.46027397
1967,44.30410959,68.37260274
1968,46.32240437,69.95628415
1969,45.76712329,66.73150685
1970,46.66849315,69.70684932
1971,47.55890411,68.46027397
1972,47.34153005,67.45355191
1973,47.85753425,70.23835616
1974,46.80547945,69.7260274
1975,47.35616438,69.76438356
1976,44.76775956,70.53825137
1977,46.96164384,70.8630137
1978,46.40273973,68.78356164
1979,47.12876712,68.50958904
1980,47.46448087,69.53278689
1981,46.3369863,68.37534247
1982,48.86849315,68.38630137
1983,47.64931507,68.21643836
1984,47.65027322,69.1420765
1985,48.34520548,70.28767123
1986,48.30958904,69.41917808
1987,47.06575342,68.98356164
1988,45.77868852,68.46994536
1989,47.40547945,67.80547945
1990,49.87671233,72.35616438
1991,49.53972603,71.79178082
1992,47.18579235,68.20218579
1993,48.03287671,69.76438356
1994,47.98356164,70.22465753
1995,47.45479452,68.9369863
1996,47.00273224,66.30054645
1997,46.75342466,68.04383562
1998,49.83013699,70.19452055
1999,48.0630137,69.27671233
2000,46.91530055,67.66120219
2001,47.55616438,69.79726027
2002,48.76986301,70.27945205
2003,48.08219178,67.25205479
2004,49.69125683,68.6557377
2005,49.49589041,70.07945205
2006,50.09863014,71.51780822
2007,49.59178082,71.23287671
2008,49.22677596,70.63114754
2009,48.82465753,68.78356164
2010,49.27123288,70.70136986
2011,50.36712329,71.30410959
2012,50.55191257,71.79508197
2013,49.41643836,69.17260274
2014,48.40547945,69.45205479
2015,49.93150685,70.22739726
2016,49.25956284,69.53278689
2017,50.12328767,70.95616438
2018,50.03287671,69.96438356