YEAR,AMOUNT
1948,53.56
1949,44.54
1950,33.37
1951,36.15
1952,50.36
1953,37.17
1954,31.45
1955,47.93
1956,49.23
1957,50.61
1958,53.53
1959,51.34
1960,46
1961,49.06
1962,48.62
1963,37.46
1964,45.09
1965,29.76
1966,36.25
1967,37.64
1968,33.1
1969,56.33
1970,28.29
1971,44.95
1972,59.34
1973,40.5
1974,35.7
1975,61.31
1976,34.76
1977,44.08
1978,47.62
1979,57.12
1980,41.13
1981,35.87
1982,46.48
1983,43.43
1984,46.04
1985,49.08
1986,36.56
1987,40.27
1988,37.26
1989,49.74
1990,41.93
1991,35.78
1992,41.55
1993,42.25
1994,43.81
1995,34.44
1996,54.13
1997,34.13
1998,46.75
1999,48.2
2000,43.15
2001,31.52
2002,37.77
2003,63.29
2004,58.5
2005,41.54
2006,52.12
2007,37.9
2008,49.55
2009,48.32
2010,35.89
2011,47.54
2012,36.55
2013,53.68
2014,35.74
2015,49.07
2016,52.75
2017,37.96
2018,63.73